AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_NB_5;MAT_ENS_5;MAT_SI_6;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_NB_TOT;MAT_TOTAL;MAT_CHI;MAT_EXT;MAT_NAC;MAT_NO_ETNIA;MAT_ETNIA;MAT_SI_INT;MAT_HOM_INT;MAT_MUJ_INT;MAT_NB_INT;MAT_INT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT;SLEP;NOMBRE_SLEP
2024;1;9;LICEO POLITECNICO ARICA                                                                                                                                                                                                                                        ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;219;622;113;105;218;516;324;0;0;840;606;231;3;585;255;0;32;18;0;50;0;0;0;0;0;0;25;15;40;0;0;0;5;CHINCHORRO
2024;2;7;PARVULARIO LAS ESPIGUITAS                                                                                                                                                                                                                                      ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;60;61;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;61;0;0;121;120;1;0;112;9;0;22;11;0;33;5;0;0;0;0;0;0;0;5;0;0;0;5;CHINCHORRO
2024;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES                                                                                                                                                                                                                            ;6;5;1;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;0;0;0;0;0;0;579;0;579;0;0;0;0;0;0;0;0;0;0;8;1;9;0;0;0;0;0;0;587;1;0;0;588;133;455;0;558;30;0;0;0;0;0;0;0;39;0;0;4;0;0;43;0;0;0;5;CHINCHORRO
2024;4;3;LICEO OCTAVIO PALMA PEREZ                                                                                                                                                                                                                                      ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;594;0;1203;0;0;0;0;0;0;0;0;0;0;609;594;0;0;1203;1117;86;0;887;316;0;13;9;0;22;0;0;0;0;35;0;0;0;35;0;0;0;5;CHINCHORRO
2024;5;1;JOVINA NARANJO FERNANDEZ                                                                                                                                                                                                                                       ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;0;0;0;132;89;221;0;0;0;0;0;0;0;0;240;246;0;486;0;56;34;90;0;0;0;0;0;0;428;369;0;0;797;720;77;0;643;154;0;63;40;0;103;0;8;0;0;16;5;0;0;29;0;0;0;5;CHINCHORRO
2024;7;8;L. POLI. ANTONIO VARAS DE LA BARRA                                                                                                                                                                                                                             ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;498;1098;0;0;0;600;498;0;0;1098;846;252;0;715;383;0;113;70;0;183;0;0;0;0;0;0;40;0;40;0;0;0;5;CHINCHORRO
2024;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA                                                                                                                                                                                                                        ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;24;14;38;0;152;105;257;0;0;0;0;0;0;0;0;213;183;0;396;0;0;0;0;0;0;0;0;0;0;389;302;0;0;691;512;179;0;597;94;0;55;25;0;80;2;8;0;0;16;0;0;0;26;0;0;0;5;CHINCHORRO
2024;9;4;ESCUELA REPUBLICA DE ISRAEL                                                                                                                                                                                                                                    ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;93;99;192;0;641;593;1234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;692;0;0;1426;1395;31;0;1267;159;0;113;72;0;185;8;32;0;0;0;0;0;0;40;0;0;0;5;CHINCHORRO
2024;10;8;ESCUELA REPUBLICA DE FRANCIA                                                                                                                                                                                                                                   ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;0;19;19;0;0;139;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;0;0;158;87;71;0;144;14;0;0;45;0;45;0;8;0;0;0;0;0;0;8;1;0;1;5;CHINCHORRO
2024;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT                                                                                                                                                                                                                                ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;23;20;43;0;176;130;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;150;0;0;349;271;78;0;289;60;0;42;23;0;65;2;9;0;0;0;0;0;0;11;0;0;0;5;CHINCHORRO
2024;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA                                                                                                                                                                                                                               ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;24;18;42;0;155;129;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;147;0;0;326;307;19;0;256;70;0;42;33;0;75;2;9;0;0;0;0;0;0;11;0;0;0;5;CHINCHORRO
2024;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA                                                                                                                                                                                                                               ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;17;16;33;0;132;97;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;113;0;0;262;215;47;0;186;76;0;38;23;0;61;2;8;0;0;0;0;0;0;10;0;0;0;5;CHINCHORRO
2024;14;0;ESCUELA ROMULO J. PENA MATURANA                                                                                                                                                                                                                                ;6;5;0;15;AYP  ;151;15101;ARICA               ;151;ARICA                  ;1;0;35;31;66;0;167;129;296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;160;0;0;362;198;164;0;239;123;0;40;21;0;61;2;8;0;0;0;0;0;0;10;0;0;0;5;CHINCHORRO
